Date,Configuration,Customer Postcode,Store Postcode,Retail Price,month
1/1/2013 0:01,163,EC4V 5BH,SE1 2BN,455,1
1/1/2013 0:02,320,SW4 0JL,SW12 9HD,545,1
1/1/2013 0:04,23,EC3V 1LR,E2 0RY,515,1
1/1/2013 0:04,169,SW1P 3AU,SE1 2BN,395,1
1/1/2013 0:06,365,EC4V 4EG,SW1V 4QQ,585,1
1/1/2013 0:12,309,W1B 5PX,SW1V 4QQ,555,1
1/1/2013 0:14,75,SE25 4LX,SE8 3JD,465,1
1/1/2013 0:17,346,N7 6AR,E2 0RY,450,1
1/1/2013 0:24,70,W3 7JT,SW18 1NN,455,1
1/1/2013 0:56,351,SW8 1RB,SW1V 4QQ,620,1
1/1/2013 1:00,209,SE26 5HB,CR7 8LE,465,1
1/1/2013 1:03,359,W1T 1DG,NW5 2QH,665,1
1/1/2013 1:05,300,TW9 3AH,W4 3PH,440,1
1/1/2013 1:07,363,N1 9DU,SW1V 4QQ,565,1
1/1/2013 1:15,22,N1 8LU,E2 0RY,405,1
1/1/2013 1:18,53,E14 0BB,SE8 3JD,480,1
1/1/2013 1:29,310,WC1X 0AE,SW1P 3AU,505,1
1/1/2013 1:30,314,N1 9BL,SE1 2BN,425,1
1/1/2013 1:32,320,WC2E 8RF,SE1 2BN,545,1
1/1/2013 1:32,299,SE1 3XB,SW1P 3AU,490,1
1/1/2013 1:40,205,EC3N 2AE,SE1 2BN,480,1
1/1/2013 1:42,216,E6 3BD,E2 0RY,535,1
1/1/2013 1:42,203,W1T 1HH,NW5 2QH,460,1
1/1/2013 1:53,209,SE26 4BG,CR7 8LE,465,1
1/1/2013 2:00,368,EC1R 0DY,NW5 2QH,595,1
1/1/2013 2:00,293,E6 1PW,SE8 3JD,530,1
1/1/2013 2:22,352,E2 0JD,SE8 3JD,570,1
1/1/2013 2:26,215,SE10 9NW,SE1 2BN,585,1
1/1/2013 2:29,347,SE1 9AA,SW1P 3AU,540,1
1/1/2013 2:31,340,W1H 1DG,SW1P 3AU,510,1
1/1/2013 2:43,151,EC4V 5BH,SW1V 4QQ,510,1
1/1/2013 2:59,344,E17 9NL,E2 0RY,590,1
1/1/2013 3:20,337,W1T 1NT,NW5 2QH,520,1
1/1/2013 3:23,293,E14 6JP,E2 0RY,530,1
1/1/2013 3:24,213,SE1 1TA,SW1P 3AU,525,1
1/1/2013 3:29,200,W1D 7HS,SW1V 4QQ,510,1
1/1/2013 3:47,152,E6 1PW,E7 8NW,460,1
1/1/2013 3:58,197,NW6 7JR,NW5 2QH,500,1
1/1/2013 4:05,9,WC1H 8BS,SW1V 4QQ,350,1
1/1/2013 4:07,217,SE25 4UF,CR7 8LE,445,1
1/1/2013 4:15,163,WC1N 3ES,SW1P 3AU,455,1
1/1/2013 4:16,19,SW1V 3AS,SW1P 3AU,435,1
1/1/2013 4:25,340,NW1 0JH,NW5 2QH,510,1
1/1/2013 4:25,16,SW1X 7BA,SW1V 4QQ,420,1
1/1/2013 4:52,80,W1D 3TA,NW5 2QH,495,1
